Nama	Alamat	Email	website	Telp	Fax	Pengasuh
AL  BANNA (putra-putri)	Kedung Banteng Paguyangan Brebes Jawa Tengah	-	-	 0815 4296 6320  	-	Al Ustadz Fuad Abbas
A tTanwiriyyah (Putra-Putri)	Jl. Ariawiratanudatar KM 5 Sindanglaka Cianjur Jawa_Barat 	  info@tanwiriyyah.or.id	  www.tanwiriyyah.or.id 	 0263-265414 	 0263-265414 	KHD Ahmad Jauhar Tanwiri, LML, KHT Hisan Zahiri, KH Bay Syaban Faruqi
A'lad Darojat (Putra-Putri)	dusun madiunan desa jongbiru kec.gampengrejo kab. kediri Jawa_Timur	-	-	085664745530	-	K.H. Ahmad Daroji Roif.
A.P.I (Asrama Perguruan Islam) (Putra-Putri)	Tegalrejo Magelang 56192 Jawa_Tengah 	  info@pesantrentegalrejo.com / iezzu_dien@yahoo.com	  www.pesantrentegalrejo.com 	 (0293) 362903 - 313000 	3148862	K.H Abdurrochman Chudlori
A.P.I Assalavy (putra-putri)	Banjaranyar Rt01/04 Pekuncen, Banyumas Jawa tengah 	  dirlangga_alya@yahoo.com	-	 	-	K.H Aly Ma'ruf
abdurrahman irawan	jl.jahri saleh RT11 No49 kalimantan selatan 	  abdurrahman_irawan@yahoo.com	-	 087815711971  	-	
Ad-Da'wah boarding scholl (SMPIT) (Putra-Putri)	Jl TB Hasan Jatimulya Rangkasbitung Lebak Banten Banten 	  jd_islamiya@yahoo.co.id	-	 02525500457  	-	KH Takdir Syamsudin Ali
Addarain	Jl. Onggorawe-Surodadi, Sayung, Demak Jawa Tengah 	  mts.addarain@gmail.com	-	 02470712585 	246590021	H. Sakdullah, S.Ag
Ahlaqul Karimah	Jl Anjasmoro 30B, Bendo, Karangpandan, Pakisaji, Kab. Malang Jawa_Timur 	-	  http://www.budimulia.or.id	 0341-8129248  	-	KH Nur Salim
AINUL BAHIROH (Putra)	KERAS JOMBANG Jawa_Timur 	  BEST_CREATIVE@PLASA.COM	-	 03217260511 	3217260511	KH.MASDUKI
ainul huda (Putra-Putri)	jl.kebon jambu kesugihan cilacap Jawa_Tengah	-	-	 0282 695165  	-	KH. Abdul Choliq
Akbar Iman S	Jombang Jawa Timur 	  Akbariman08@gmail.com	-	 085732465055  	-	
Al - Asy\'ari (Putra)	Ceweng Dander Bojonegoro Jawa_Timur 	  al_asyari@telkom.net	  - 	 0353 - 891639 	 - 	KH. Choirul Anam
Al Abror (KH.Chambali utsman, KH.Aenurrofiq,) (Putra-Putri)	jl.raya yomani km3 lebaksiu tegal Jawa_Tengah 	  amighost90@yahoo.com	-	 (0283)463788  	-	KH.Chambali Utsman
Al Amanah (Putra-Putri)	Jl. Raya Puspiptek Bakti Jaya Setu Tangerang Banten	-	-	 021-75870249 	 021-7560674 	KH. Ahmad Hadi, SAg.
