Nama;Alamat;Telpon;Fax;Kota;Situs;Cabang;keg1;keg2;keg3;keg4;keg5;keg6;keg7;keg8;keg9;keg10;keg11;keg12
Rumah Zakat;Jl. Turangga No.25 C ;022-7332407 ;022-7332407 ;Bandung;http://rumahzakat.org;-;beasiswa;laboratorium;mobil juara;perbaikan gizi;kemah;Rumah Bersalin Gratiis;Layanan Bersalin Grat;penyuluhan;ambulance;posyandu;modal kerja;pelatihan
Rumah Zakat1;Ruko Lamlagang, Jl. Sultan Malikul Saleh, Kel. Lamlagang, Kec. Banda Raya;0651-7429692 ;-;Aceh.;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat2;Jl. Veteran No.9 Kel. Mujamuju, Kec. Umbulharjo;0274-377671 ;0274-377671 ;Yogyakarta;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat3;Jl. Radio Dalam Raya No. 47;021- 7396 908 ;-;Jakarta Pusat;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat4;Jl. Srengseng Raya Barat No.98A Kebon Jeruk;021-5858023 ;-;Jakarta Barat;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat5;Jl. Terusan Boulevard Timur Raya No. 1A RT 05/02;021-46828867 ;-;Jakarta Barat;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat6;Jl. Gunung Sahari I No.35;021-42800754 ;-;Jakarta Pusat;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat7;Basement Floor R.05, Jl. M.H Thamrin Kav. 3;021-2300733 ;021-2300733/021-95578600 ;Jakarta Pusat;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat8;Rasuna Office Park, No.LR.02, Apartemen Taman Rasuna, Tower 8, Jl. HR. Rasuna Said Kuningan;021-94740907 ;-;Jakarta Selatan;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat9;Jl. Wijaya 1 Kel. Petogogan, Kec. Kebayoran Baru;021-7234039 ;021-7234039 ;Jakarta Selatan;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat10;Jl. RM. Harsono No.15A Kel. Ragunan, Kec. Pasar Minggu;021-7884287 ;021-78842287 ;Jakarta Selatan;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat11;Rukan Mitra Matraman, Jl. Matraman Raya No.148 Blok A1 No.5;021-85918021 ;021-85918020 ;Jakarta Timur;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat12;Jl. Turangga No.33;022-7332451 ;022-7317400 ;Bandung;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat13;Jl. Ir. Juanda No.91;022-70773297 ;-;Bandung;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat14;Jl. Terusan Jakarta No.77 Kec. Antapani;022-70739192 ;-;Bandung;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat15;Jl. Prof. Dr. Ir. Sutami No.89 Bandung;022-70474711 ;-;Bandung;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat16;Komplek Lotus Garden Blok A No.8 Kel. Teluk Tering, Kec. Batam Kota;0778-468024 ;0778-468024 ;Batam;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat17;Jl. Veteran No.110 B Bekasi Selatan;021-88851159 ;021-88851159 ;Bekasi;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat18;Jl. Pandawa Raya Blok IB, Komplek Indraprasta, Kel. Bantar Jati, Kec. Bogor Utara;0251-8378945 ;-;Bogor;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat19;Ruko Pavilion Shop Jl. Industri Utara No. 9 Jababeka 2;021-89840499 ;021-89840661 ;Cikarang;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
Rumah Zakat20;Jl. Letjend R. Suprapto No.25G;0254-385443 ;-;Cilegon;-;Rumah Zakat;-;-;-;-;-;-;-;-;-;-;-;
