"Nama"	"Alamat"	"Telpon"	"Fax"	"Kota"	"Situs"	"Cabang"	"keg1"	"keg2"	"keg3"	"keg4"	"keg5"	"keg6"	"keg7"	"keg8"	"keg9"	"keg10"	"keg11"	"keg12"
"Rumah Zakat"	"Jl. Turangga No.25 C "	"022-7332407 "	"022-7332407 "	"Bandung"	"http://rumahzakat.org"	0	"beasiswa"	"laboratorium"	"mobil juara"	"perbaikan gizi"	"kemah"	"Rumah Bersalin Gratiis"	"Layanan Bersalin Grat"	"penyuluhan"	"ambulance"	"posyandu"	"modal kerja"	"pelatihan"
"Rumah Zakat1"	"Ruko Lamlagang, Jl. Sultan Malikul Saleh, Kel. Lamlagang, Kec. Banda Raya"	"0651-7429692 "	0	"Aceh."	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat2"	"Jl. Veteran No.9 Kel. Mujamuju, Kec. Umbulharjo"	"0274-377671 "	"0274-377671 "	"Yogyakarta"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat3"	"Jl. Radio Dalam Raya No. 47"	"021- 7396 908 "	0	"Jakarta Pusat"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat4"	"Jl. Srengseng Raya Barat No.98A Kebon Jeruk"	"021-5858023 "	0	"Jakarta Barat"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat5"	"Jl. Terusan Boulevard Timur Raya No. 1A RT 05/02"	"021-46828867 "	0	"Jakarta Barat"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat6"	"Jl. Gunung Sahari I No.35"	"021-42800754 "	0	"Jakarta Pusat"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat7"	"Basement Floor R.05, Jl. M.H Thamrin Kav. 3"	"021-2300733 "	"021-2300733/021-95578600 "	"Jakarta Pusat"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat8"	"Rasuna Office Park, No.LR.02, Apartemen Taman Rasuna, Tower 8, Jl. HR. Rasuna Said Kuningan"	"021-94740907 "	0	"Jakarta Selatan"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat9"	"Jl. Wijaya 1 Kel. Petogogan, Kec. Kebayoran Baru"	"021-7234039 "	"021-7234039 "	"Jakarta Selatan"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat10"	"Jl. RM. Harsono No.15A Kel. Ragunan, Kec. Pasar Minggu"	"021-7884287 "	"021-78842287 "	"Jakarta Selatan"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat11"	"Rukan Mitra Matraman, Jl. Matraman Raya No.148 Blok A1 No.5"	"021-85918021 "	"021-85918020 "	"Jakarta Timur"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat12"	"Jl. Turangga No.33"	"022-7332451 "	"022-7317400 "	"Bandung"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat13"	"Jl. Ir. Juanda No.91"	"022-70773297 "	0	"Bandung"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat14"	"Jl. Terusan Jakarta No.77 Kec. Antapani"	"022-70739192 "	0	"Bandung"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat15"	"Jl. Prof. Dr. Ir. Sutami No.89 Bandung"	"022-70474711 "	0	"Bandung"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat16"	"Komplek Lotus Garden Blok A No.8 Kel. Teluk Tering, Kec. Batam Kota"	"0778-468024 "	"0778-468024 "	"Batam"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat17"	"Jl. Veteran No.110 B Bekasi Selatan"	"021-88851159 "	"021-88851159 "	"Bekasi"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat18"	"Jl. Pandawa Raya Blok IB, Komplek Indraprasta, Kel. Bantar Jati, Kec. Bogor Utara"	"0251-8378945 "	0	"Bogor"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat19"	"Ruko Pavilion Shop Jl. Industri Utara No. 9 Jababeka 2"	"021-89840499 "	"021-89840661 "	"Cikarang"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat20"	"Jl. Letjend R. Suprapto No.25G"	"0254-385443 "	0	"Cilegon"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat21"	"Jl. Gedung Empat No.E.3 Gatot Subroto"	"022-70723062 "	0	"Cimahi"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat22"	"Taman Rempoa Indah, Jl. Delima Jaya Ciputat Timur"	"021-26329700 "	0	"Ciputat"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat23"	"Jl. Tuparev Komp. Ruko Cirebon Bisnis Centre (CBC) Blok D8"	"0231-237399 "	0	"Cirebon"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat24"	"Jl, Tole Iskandar, Ruko Griya Depok Asri Blok B1 No.2C"	"021-77824992 "	"021-23711522 "	"Depok"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat25"	"Jl. Beringin Raya No.144C Perumnas"	"021-5588811 "	0	"Tangerang"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat26"	"Jl. Dr. Sutomo No.53"	"024-70780960 "	0	"Semarang"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat27"	"Jl. Kartini No.10 Kel. Pocanan, Kec. Kota"	"0354-7604700 "	0	"Kediri"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat28"	"Ruko Istana, Jl. W.R Supratman C3 Kav.19"	"0341-351932 "	0	"Malang"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat29"	"Jl. Raya Nginden No.29"	"031-5914145 "	"031-5914145 "	"Surabaya"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat30"	"Jl. Dukuh Kampung Barat No.329"	"031-78458991 "	0	"Surabaya"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat31"	"Jl. Raya Menganti No. 17 B Wiyung"	"031-78458992 "	0	"Surabaya"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat32"	"Jl. Kali Larangan No.39 Kel. Jayengan, Kec. Serengan"	"0271-7072671 "	0	"Surabaya"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat33"	"Jl. Irian No.35 Kel. Akcaya, Kec. Pontianak Selatan"	"0561-736809 "	0	"Pontianak"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat34"	"Jl. MT. Haryono, Ruko Balikpapan Baru Blok D4 No.6 Kel. Damai, Kec. Balikpapan Selatan"	"0542-873411 "	"0542-873411 "	"Balikpapan"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat35"	"Jl. Jend Sudirman No.59 Kel. Rawa Laut, Kec. Tekate"	"0721-255813 "	0	"Bandar Lampung"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
"Rumah Zakat36"	"Jl. Perumnas I No.25 Kel. Harem, Kec. Waena"	"0967-571692 "	0	"Jayapura"	0	"Rumah Zakat"	0	0	0	0	0	0	0	0	0	0	0	
