"Nama Kota";"Latitude";"Longitude"
"ACEH";5.58333333333333;95.3333333333333
"ALAHAN PANJANG";-1.06666666666667;100.783333333333
"AMBOINA";-3.7;128.15
"AMBON";-3.7;128.796666666667
"AMUNTAI";-2.4;115.3
"ANYER";-6.05;105.933333333333
"AROSBAYA";-6.93333333333333;112.866666666667
"BAITUL MUSTHOFA";-7.47583333333333;110.893611111111
"BALIAGE";3.35;99.0333333333333
"BALIKPAPAN";-1.21666666666667;116.85
"BANDA ACEH";5.58333333333333;95.3333333333333
"BANDAR LAMPUNG";-5.43333333333333;105.233333333333
"BANDUNG";-6.95;107.616666666667
"BANGGAI";-1.56666666666667;123.566666666667
"BANGKA";-2;106
"BANGKALAN";-7.05;112.766666666667
"BANGKINAN";0.366666666666667;101.033333333333
"BANGKO";-2.11666666666667;102.416666666667
"BANJAR";-7.38333333333333;108.533333333333
"BANJARMASIN";-3.36666666666667;114.666666666667
"BANJARNEGARA";-7.43333333333333;109.666666666667
"BANTEN";-6.05;106.133333333333
"BANTUL";-7.93333333333333;110.333333333333
"BANYUMAS";-7.41666666666667;114.383333333333
"BANYUWANGI";-8.21666666666667;114.383333333333
"BARABAI";-2.53333333333333;115.366666666667
"BATANG";-6.93333333333333;109.716666666667
"BATURAJA";-4.11666666666667;104.2
"BATUSANGKAR";-0.45;100.566666666667
"BAUBAU";-5.5;122.65
"BEKASI";-6.31666666666667;107
"BENGKALIS";1.51666666666667;102.133333333333
"BENGKULU";-3.8;102.25
"BIMA";-8.45;118.75
"BINJAI";9.65;98.45
"BIREUN";5.28333333333333;96.6833333333333
"BLANGKAJEREN";4.03333333333333;97.3
"BLEGA";-7.1;113.116666666667
"BLITAR";-8.1;112.15
"BLORA";-6.96666666666667;111.416666666667
"BOGOR";-6.61666666666667;106.8
"BOJONEGORO";-7.16666666666667;111.883333333333
"BONDOWOSO";-7.91666666666667;113.833333333333
"BONTANG";0.0666666666666667;117.5
"BONTHAIN";-5.56666666666667;119.95
"BOYOLALI";-7.55;110.583333333333
"BREBES";-6.9;109.033333333333
"BUKITTINGGI";-0.3;100.366666666667
"BULUKUMBA";-5.55;120.2
"BUNGAH";-7.05411666666667;112.569166666667
"BUNTOK";-1.66666666666667;114.883333333333
"CALANG";-4.68333333333333;95.6
"CEPU";-7.16666666666667;111.583333333333
"CIAMIS";-7.35;108.45
"CIANJUR";-6.85;107.133333333333
"CIBINONG";-6.48333333333333;106.85
"CIJULANG";-7.33333333333333;108.55
"CIKAJANG";-7.33333333333333;107.8
"CILACAP";-7.75;109.033333333333
"CILEGON";-6.03333333333333;106.083333333333
"CIMAHI";-6.93333333333333;107.5
"CIREBON";-6.75;108.55
"CURUP";-3.41666666666667;102.5
"DEMAK";-6.9;110.616666666667
"DENPASAR";-8.61666666666667;115.216666666667
"DILLI";-8.63333333333333;125.583333333333
"DOBO";-5.78333333333333;134.25
"DOMPU";-8.5;118.466666666667
"DONGGALA";-0.7;119.75
"DUMAI";1.76666666666667;101.366666666667
"DURJAN";-7;113.166666666667
"ENDEH";-8.83333333333333;121.666666666667
"ENREKANG";-3.58333333333333;119.783333333333
"FAKFAK";-3.86666666666667;132.333333333333
"GARUT";-7.21666666666667;107.9
"GEBANG AROSBAYA";-6.98908333333333;112.789638888889
"GEBANG BANGKALAN";-6.98558333333333;112.786833333333
"GLAGAH";-7.08027777777778;112.492777777778
"GLAGAH LAMONGAN";-7.08027777777778;112.492777777778
"GOMBONG";-7.58333333333333;109.516666666667
"GORONTALO";0.566666666666667;123.083333333333
"GRAJAKAN";-8.58333333333333;114.216666666667
"GRESIK CONDRODIPO";-7.16975;112.617361111111
"GRESIK";-7.16666666666667;112.666666666667
"GUNUNG SITOLI";1.31666666666667;97.6
"IDI";4.96666666666667;97.7666666666667
"INDRAMAYU";-6.33333333333333;108.3
"JAKARTA";-6.16666666666667;106.816666666667
"JAMBI";-1.6;103.883333333333
"JAMPEA";-7.1;120.683333333333
"JATINEGARA";-6.25;106.866666666667
"JAYAPURA";2.46666666666667;140.633333333333
"JEMBER";-8.16666666666667;113.7
"JENEPONTO";-5.68333333333333;119.716666666667
"JEPARA";-6.6;110.65
"JOMBANG";-7.53333333333333;112.216666666667
"KABANJAHE";3.11666666666667;98.4666666666667
"KADUNGDUNG";-7.1;113.316666666667
"KALABAHI";-8.2;124.533333333333
"KALIANDA";-5.78333333333333;105.566666666667
"KANDANGAN";-2.78333333333333;115.333333333333
"KANGEAN";-6.83333333333333;115.416666666667
