"Nama Sekolah";"Alamat";"Telpon";"Fax";"Kota";"Site"
"MAN 1 Jakarta";"Jl. Rawa Bahagia Raya 28 Grogol Petamburan";"-";"-";"Jakarta Pusat";
"MAN 2 Jakarta";"Jl. Penganten Ali No. 112 Ciracas";"-";"-";"Jakarta Pusat";
"MAN 3 Jakarta ";"Jl. Rawasari Selatan Cempaka Putih";"-";"-";"Jakarta Pusat";
"MAN 4 Jakarta";"Jl. Ciputat Raya Kebayoran Lama";"-";"-";"Jakarta Pusat";
"MAN 5 Jakarta";"Jl. Marunda Baru No. 28 Cilincing";"-";"-";"Jakarta Pusat";
"MAN 6 Jakarta";"Kampung Dukuh RT. 010/04 Kramat Jati";"-";"-";"Jakarta Pusat";
"MAN 7 Jakarta";"Jl. Sukur Jagakarsa";"-";"-";"Jakarta Pusat";
"MAN 8 Jakarta";"Jl. Balai Rakyat Cakung";"-";"-";"Jakarta Pusat";
"MAN 9 Jakarta";"Jl. H. Dogol No. 54 Pondok Bambu Duren Sawit";"-";"-";"Jakarta Timur";
"MAN 10 Jakarta";"Jl. Joglo Baru No.77 Kembangan";"-";"-";"Jakarta Pusat";
"MAN 11 Jakarta";"Jl. Haji Gandun Cilandak";"-";"-";"Jakarta Pusat";
"MAN 12 Jakarta";"Jl. Raya Duri Kosambi Cengkareng";"-";"-";"Jakarta Pusat";
"MAN 13 Jakarta";"Jl. Syukur Lenteng Agung Jagakarsa";"-";"-";"Jakarta Pusat";
"MAN 14 Jakarta";"Jl. Madrasah Rt. 03/09 No. 80 Pasar Rebo";"-";"-";"Jakarta Pusat";
"MAN 18 Jakarta";"Jl. Rawa Bahagia Pondok Kop";"-";"-";"Jakarta Timur";
"MTS. Hidayatul Wathon";"JI.Jagalan 8D/9 ";"-";"-";"Surabaya";
"MTS. Miftahul Ulum";"JI. Kupang Praupan Pasar 119 ";"-";"-";"Surabaya";
"MTS. Mabadic Khoiri Ummah";"JI.Keputran 5125  3";"-";"-";"Surabaya";
"MTS. Darussalam";"JI.Jepara 1-Bll ";"-";"-";"Surabaya";
