"Nama"	"Alamat"	"Telpon"	"Kota"	"Website"
"Masjid Salman"	"Kampus Institut Teknologi Bandung"	0	"Bandung"	
"Masjid Al Amin"	"Jl Prof Dr HM Yamin SH 482 20233"	"061-4579023"	"Medan"	
"Masjid Al Fath"	"Jl KH Wahid Hasyim 105 20119"	"061-4572650"	"Medan"	
"Masjid Al Hakim"	"Jl Rahayu Tmr Ujung 4 20224"	"061-6854404"	"Medan"	
"Masjid Al Hidayah"	"Jl Menteng Indah VI H VI H 20228"	"061-7876768"	"Medan"	
"Masjid Al Huda"	"Jl Balai Ds 23 20148"	"061-8441163"	"Medan"	
"Masjid Al Ikhlas Taqwa"	"Jl Medan Area Slt 129 20216"	"061-7365605"	"Medan"	
"Masjid Al Junaid"	"Jl Buluh Perindu Gg Mutiara 32 20224"	"061-7323009"	"Medan"	
"Masjid Al Manar"	"Jl Laksana 47 20215"	"061-7365519"	"Medan"	
"Masjid Al Ma'ruf"	"Jl Aluminium Gatot Subroto Kompl BI 23 20362"	"061-8441687"	"Medan"	
"Masjid Al Muhajirin"	"Jl Denai Gg Padi 1"	" 061-77819012"	"Medan"	
"Masjid Al Mukhlisin"	"Jl GB Yosua 8 20234"	"061-4554847"	"Medan"	
"Masjid Al-Hidayah"	"Jl Jawa "	"061-4530431"	"Medan"	
"Masjid Aljihad Medan Baru"	"Jl Abdullah Lubis 38 20154"	"061-4572027"	"Medan"	
"Masjid Amal Bakti"	"Jl Gaperta 261 20124"	"061-8471277"	"Medan"	
"Masjid Amal Muslimin"	"Jl Menteng VII 20228"	"061-7877281"	"Medan"	
"Masjid Ar Rahman"	"Jl Gaperta 15 D 20126"	"061-8460288"	"Medan"	
"Masjid Ash Shidah"	"Jl Sei Blutu I 21-C 20158"	"061-4571116"	"Medan"	
"Masjid Attaubah"	"Jl Putri Hijau 6 20111"	"061-4563739"	"Medan"	
"Masjid Baitu Rachman"	"Kompl Johor Indah Permai I Bl R 5/17 20144"	"061-7877717"	"Medan"	
"Masjid Darul Ikhsan"	"Jl Stasiun Gg Situmeang 64-D 20361"	"061-7879638"	"Medan"	
"Masjid Daurun Nur"	"Jl Suka Eka 31-A 20146"	"061-7866281"	"Medan"	
"Masjid Fajar Ramadhan"	"Kompl JIP II Bl A/50"	"061-7850895"	"Medan"	
"Masjid Mualimmin"	"Jl Sisingamangaraja Gg Keluarga 33 20215"	"061-7344833"	"Medan"	
"Masjid Mubarak"	"Jl Pasar III 5 20238"	"061-6638635"	"Medan"	
"Masjid Mufarridiyah"	"Jl Arif Rahman Hakim Gg Amaliah 2 20236"	"061-7322953"	"Medan"	
"Masjid Muslim Teladan"	"Jl Turi 20 20217"	"061-7344320"	"Medan"	
"Masjid Nurul Huda"	"Jl Garuda 29 20227"	"061-8460178"	"Medan"	
"Masjid Raya Al Mashun"	"Jl Sisingamangaraja 20218"	"061-7368578"	"Medan"	
"Masjid Raya Almuhajirin"	"Jl Garuda II 20227"	"061-7361889"	"Medan"	
"Masjid Raya Pusat Pasar"	"Jl Pusat Psr Lt IV 20212"	"061-4561586"	"Medan"	
"Masjid Taqwa"	"Jl Tangkul 128-A 20222"	"061-6696235"	"Medan"	
"Masjid Taqwa"	"Jl Mandala By Pass 140 20223"	"061-7324786"	"Medan"	
"Masjid Taqwa"	"Jl Karya Sehati 6 20143"	"061-7875554"	"Medan"	
"Masjid Taqwa Mawar Melati"	"Jl Batu Putih 28 20233"	"061-4558290"	"Medan"	
"Masjid Taqwa Muhammadiyah"	"Jl Demak 3 20214"	"061-7344741"	"Medan"	
"Mushalla Aisyiyah"	"Jl Sei Batang Serangan 56/37 20119"	"061-4155233"	"Medan"	
"Musholla Ahishlah"	"Jl Amaliun Gg Pardamean 15 20352"	"061-7324359"	"Medan"	
"Mushollah Balerong Bayur"	"Jl Utama 135 71 20215"	"061-7346344"	"Medan"	
"Masjid Nasional Al Akbar"	"Jl. Masjid Al-Akbar"	"031- 8289755"	"Surabaya"	
"Masjid Nurul Huda"	"Jl. Said Parintah"	0	"Ambon"	
"Masjid Istiqlal"	"Jl. Taman Wijaya Kusuma"	"021- 3503287"	"Jakarta Pusat"	
"Masjid AtTaubah"	"Jl. Kebon Nanas Selatan 3 No. 18  Jatinegara"	0	"Jakarta Timur"	
"Masjid Al Bahri"	"Jl. Mayjen DI Panjaitan Jatinegara"	0	"Jakarta Timur"	
"Masjid Jami At Taufiq"	"Perumahan Taman Sentosa Blok J Sukaresmi Cikarang Selatan 17550"	"021-89905698"	"Bekasi"	
"Masjid Agung Jami"	"Jalan Merdeka Barat No 3 "	"0341 – 321365 "	"Malang"	"http://masjidjami.com/"
"Masjid Pathok Negara Mlangi"	"Dusun Mlangi Nogotirto Gamping"	0	"Sleman"	
"Masjid Pathok Negara Taqwa Wonokromo"	"Wonokromo, Pleret"	0	"Bantul"	
"Masjid Pathok Negara Sulthoni Plosokuning"	"Jl. Plosokuning Raya No. 99 Minomartani Ngaglik"	0	"Sleman"	
"Masjid Pathok Negara Ad-Darojat Babadan"	"Babadan Gedongkuning Banguntapan"	0	"Bantul"	
"Masjid Ar Royan"	"Perum Galaxy Blok N"	0	"Surabaya"	
"Masjid Baitus Syakur"	"Perum Bulog Jatim"	0	"Surabaya"	
"Masjid Sabilillah"	"Jl. Jend A Yani 15"	0	"Malang"	"http://www.sabilillahmalang.org/"
"Masjid Raya Ukhuwwah"	"Jalan Kalimantan No. 19"	0	"Denpasar"	
"MASJID AGUNG SUDIRMAN"	"Jl. Slamet Riyadi"	0	"Denpasar"	
"MASJID AL FALAQ"	"Jl. M.T. Haryono II No. 14"	0	"Denpasar"	
"MASJID AL FURQON"	"Jl. Jenderal Sudirman"	0	"Denpasar"	
"MASJID AL HIKMAH"	"Jl. Soka No. 18, Kesiman Kertalangu"	0	"Denpasar"	
"MASJID AL IKHLAS"	"Jl. Gunung Batukaru No. 92 B, Tegal Kertha"	0	"Denpasar"	
"MASJID AL MUHAJIRIN"	"Jl. Raya Pemogan, Gang Masjid, Kampung Islam Kepaon, Pemogan"	0	"Denpasar"	
"MASJID AN NUR"	"Jl. Diponegoro No. 167, Sanglah"	0	"Denpasar"	
"MASJID AT TAQWA POLDA BALI"	"Jl. W.R. Supratman"	0	"Denpasar"	
"MASJID AT TAUFIQ"	"Kompleks Asrama Brimob Tohpati"	0	"Denpasar"	
"MASJID BAITUL MAKMUR"	"Jl. Gunung Merbuk No. 4, Perumahan Monang Maning"	0	"Denpasar"	
"MASJID BAITURRAHMAH"	"Jl. Ahmad Yani, Gang II, Dusun Wanasari"	0	"Denpasar"	
"MASJID CHANDRA ASRI"	"Jl. By Pass Prof. Dr. Ida Bagus Mantra, Perumahan Puri Chandra Asri"	0	"Denpasar"	
"MASJID DARUL HUDA"	"Jl. Letda Ngurah Putra No. 11, Dangin Puri Kelod"	0	"Denpasar"	
"MASJID DARUSSALAM"	"Jl. HOS Cokroaminoto No. 155, Ubung"	0	"Denpasar"	
"MASJID NURUT TAQWA"	"Jl. Kapten Japa"	0	"Denpasar"	
"MASJID RAYA UKHUWWAH"	"Jl. Kalimantan No. 19"	0	"Denpasar"	
"MASJID SADAR"	"Jl. Tegalwangi Gang Kenanga No. 13, Sesetan"	0	"Denpasar"	
"MASJID SUCI"	"Jl. Pulau Buru No. 56"	0	"Denpasar"	
"MUSHOLLA AL AMANAH"	"Kompleks Gedung Keuangan Negara - Jl. dr. Kusuma Atmaja, Renon"	0	"Denpasar"	
"MUSHOLLA AL FALAH"	"Jl. Kerta Rahayu, Sidakarya"	0	"Denpasar"	
